"職業標準分類(XML)","職業代碼(第6次修訂)","職  業  名  稱"
"2392","音樂才藝教師",
"2393","藝術才藝教師",
"2394","資訊技術訓練師",
"2395","升學及就業補習班教師",
"2399","未分類其他教學專業人員",
"24","商業及行政專業人員",
"241","財務專業人員",
"2411","會計專業人員",
"2412","財務及投資顧問",
"242","行政專業人員",
"2421","組織及政策管理專業人員",
"2422","人事及員工培訓專業人員",
"243","行銷、公關及技術銷售專業人員",
"2431","廣告及行銷專業人員",
"2432","公關專業人員",
"2433","資訊及通訊技術銷售專業人員",
"2434","醫療及其他技術銷售專業人員",
"25","資訊及通訊專業人員",
"251","軟體與應用程式開發人員及分析師",
"2511","系統分析及設計師",
"2512","軟體開發及程式設計師",
"2513","網站及多媒體程式開發人員",
"2519","其他軟體、應用程式開發人員及分析師",
"252","資料庫及網路專業人員",
"2521","資料庫設計師及管理師",
"2522","系統管理師",
"2523","電腦網路專業人員",
"2529","其他資料庫及網路專業人員",
"26","法律、社會及文化專業人員",
"261","法律專業人員",
"2611","律師及公設辯護人",
"2612","法官",
"2613","檢察官",
"2619","其他法律專業人員",
"262","檔案、文物及圖書館管理專業人員",
"2621","檔案及文物管理專業人員",
"2622","圖書館管理專業人員",
"263","社會及宗教專業人員",
"2631","經濟學專業人員",
"2632","社會、人類學及有關專業人員",
"2633","哲學、歷史及政治學專業人員",
"2634","心理學專業人員",
"2635","社會工作專業人員",
"2636","宗教專業人員",
"264","作家、新聞記者及語言學專業人員",
"2641","作家及有關撰稿人員",
"2642","新聞記者",
"2643","語言學及翻譯專業人員",
"265","創作及表演藝術人員",
"2651","視覺藝術創作人員",
"2652","音樂、歌唱表演及作曲人員",
"2653","舞蹈表演及編舞人員",
"2654","電影、舞台及有關導演與製作人",
"2655","演員",
"2656","廣播、電視及其他媒體播報員",
"2659","其他創作及表演藝術人員",
"3","技術員及助理專業人員",
"31","科學及工程助理專業人員",
"311","物理、化學及工程科學技術員",
"3111","物理及化學技術員",
"3112","營建工程技術員",
"3113","電機工程技術員",
"3114","電子工程技術員",
"3115","機械工程技術員",
"3116","化學工程技術員",
"3117","工業及生產技術員",
"3118","製圖員",
"3119","其他工程科學技術員",
"312","採礦、製造及營造監督人員",
"3121","採礦監督人員",
"3122","製造監督人員",
"3123","營造監督人員",
"313","製程控制技術員",
"3131","發電設備操作員",
"3132","焚化爐、水處理及有關設備操作員",
"3133","化學加工設備控制員",
"3134","石油及天然氣精煉設備操作員",
"3135","金屬生產製程控制員",
"3139","其他製程控制技術員",
"314","生命科學技術員及有關助理專業人員",
"3141","生命科學技術員",
"3142","農、林、漁、牧技術員及推廣人員",
"315","船舶、航空器監管及有關技術員",
"3151","船舶輪機長及有關工作人員",
"3152","船舶艙面監管及引水人員",
"3153","飛航駕駛員及有關工作人員",
"3154","飛航管制員",
"3155","飛航安全電子技術員",
"32","醫療保健助理專業人員",
"321","醫學及藥學技術員",
"3211","醫學影像及治療設備技術員",
"3212","醫學及病理檢驗技術員",
"3213","藥學技術員",
"3214","醫學及牙科輔具技術員",
"322","護理助理專業人員",
"3220","護理助理專業人員",
"323","傳統醫學技術員",
"3230","傳統醫學技術員",
"324","獸醫助理專業人員",
"3240","獸醫助理專業人員",
"329","其他醫療保健助理專業人員",
"3291","牙醫助理人員及鑲牙生",
"3292","醫學紀錄及保健資訊技術員",
"3293","配鏡技術員",
"3294","物理治療技術員",
"3295","環境及職業衛生技術員",
"3296","救護車工作人員",
"3299","未分類其他醫療保健助理專業人員",
"33","商業及行政助理專業人員",
"331","財務及數學助理專業人員",
"3311","證券金融交易員及經紀人",
"3312","信用及貸款人員",
"3313","會計助理專業人員",
"3314","統計、數學及精算助理專業人員",
"3315","財物及損失鑑價人員",
"332","銷售及採購代理人與經紀人",
"3321","保險代理人",
"3322","商業銷售代表",
"3323","採購員",
"3324","買賣經紀人",
"333","企業支援服務代理人",
"3331","報關代理人",
"3332","會議及活動規劃人員",
"3333","職業介紹人及承包人",
"3334","不動產經紀人",
"3339","其他企業支援服務代理人",
"334","辦公室監督人員及專業祕書",
"3341","辦公室監督人員",
"3342","專業秘書",
"335","政府管理助理專業人員",
"3351","海關及邊界檢查人員",
"3352","政府稅務人員",
"3353","政府社會福利人員",
"3354","政府核照人員",
"3355","政府偵查人員",
"3359","其他政府管理助理專業人員",
"34","法律、社會、文化及有關助理專業人員",
"341","法律、社會及宗教助理專業人員",
"3411","法律及有關助理專業人員",
"3412","社會工作助理專業人員",
"3413","宗教助理專業人員",
"342","運動及健身工作人員",
"3421","運動員",
"3422","運動、健身及休閒娛樂指導員",
"343","藝術、文化及烹飪助理專業人員",
"3431","攝影師",
"3432","美術館、圖書館及博物館助理專業人員",
"3433","行政主廚",
"3439","其他藝術及文化有關助理專業人員",
"35","資訊及通訊傳播技術員",
"351","資訊及通訊技術員",
"3511","資訊及通訊操作技術員",
"3512","資訊及通訊使用者支援技術員",
"3513","電腦網路及系統技術員",
"3514","網站技術員",
"352","電信及傳播技術員",
"3521","廣播及視聽技術員",
"3522","電信工程技術員",
"4","事務支援人員",
"41","一般及文書事務人員",
"411","一般辦公室事務人員",
"4110","一般辦公室事務人員",
"412","事務秘書",
"4120","事務秘書",
"413","資料輸入及有關事務人員",
"4130","資料輸入及有關事務人員",
"42","顧客服務事務人員",
"421","銀行櫃員、收帳員及有關事務人員",
"4211","銀行櫃員及有關事務人員",
"4212","博弈及有關事務人員",
"4213","典當及有關事務人員",
"4214","收帳及有關事務人員",
"422","顧客資訊事務人員",
"4221","旅遊諮詢及有關事務人員",
"4222","接待員及服務台事務人員",
"4223","總機人員",
"4224","電話及網路客服人員",
"4225","統計調查訪談人員",
"4229","其他顧客資訊事務人員",
"43","會計、生產、運輸及有關事務人員",
"431","會計、統計及有關事務人員",
"4311","會計及簿記事務人員",
"4312","統計、財務及保險事務人員",
"432","生產、運輸及有關事務人員",
"4321","存貨事務人員",
"4322","生產事務人員",
"4323","運輸事務人員",
"49","其他事務支援人員",
"491","人事事務人員",
"4910","人事事務人員",
"499","未分類其他事務支援人員",
"4991","圖書館事務人員",
"4992","郵件處理及投遞人員",
"4993","編碼、校對及有關事務人員",
"4994","歸檔及複印事務人員",
"4995","教育有關事務人員",
"4999","其他未分類事務支援人員",
"5","服務及銷售工作人員",
"51","個人服務工作人員",
"511","旅運服務及有關工作人員",
"5111","飛機及船舶旅運服務人員",
"5112","隨車服務人員",
"5113","嚮導人員",
"512","廚師",
"5120","廚師",
"513","餐飲服務人員",
"5131","飲料調製員",
"5139","其他餐飲服務人員",
"514","美髮、美容及造型設計有關工作人員",
"5140","美髮、美容及造型設計有關工作人員",
"515","建築物及家事管理員",
"5151","建築物管理員",
"5152","家庭家事管理員",
"5159","其他場所家事管理員",
"519","其他個人服務工作人員",
"5191","占星、算命及有關工作人員",
"5192","殯葬及有關工作人員",
"5193","寵物美容師及動物照料工作人員",
"5194","汽車駕駛教練",
"5199","未分類其他個人服務工作人員",
"52","銷售及展示工作人員",
"521","街頭及市場銷售人員",
"5211","攤販及市場銷售人員",
"5212","街頭餐飲銷售人員",
"522","商店銷售有關人員",
"5220","商店銷售有關人員",
"523","收銀員及售票員",
"5230","收銀員及售票員",
"529","其他銷售及展示工作人員",
"5291","時裝及其他模特兒",
"5292","展售說明人員",
"5293","家戶推銷員",
"5294","電話及網路行銷人員",
"5295","加油站服務員",
"5296","餐食服務櫃台工作人員",
"5299","未分類其他銷售及展示工作人員",
"53","個人照顧工作人員",
"531","兒童照顧工作人員",
"5310","兒童照顧工作人員",
"532","個人健康照顧工作人員",
"5320","個人健康照顧工作人員",
"54","保安服務工作人員",
"540","保安服務工作人員",
"5401","消防人員",
"5402","警察",
"5403","法警及矯正機關戒護人員",
"5404","保全及警衛人員",
"5409","其他保安服務工作人員",
"6","農、林、漁、牧業生產人員",
"60","農、林、漁、牧業生產人員",
"601","農藝及園藝作物栽培人員",
"6010","農藝及園藝作物栽培人員",
"602","動物飼育人員",
"6021","家畜飼育人員",
"6022","家禽飼育人員",
"6023","養蜂及養蠶人員",
"6029","其他動物飼育人員",
"603","農牧綜合生產人員",
"6030","農牧綜合生產人員",
"604","林業生產人員",
"6040","林業生產人員",
"605","漁業生產人員",
"6051","水產養殖人員",
"6052","內陸、沿岸及近海漁撈人員",
"6053","遠洋漁撈人員",
"7","技藝有關工作人員",
"71","營建及有關工作人員",
"711","營建構造及有關工作人員",
"7111","砌磚及有關工作人員",
"7112","砌石、裁石及石雕工作人員",
"7113","混凝土鋪設及有關工作人員",
"7114","營建木作人員",
"7119","其他營建構造及有關工作人員",
"712","建築物修整及有關工作人員",
"7121","屋頂工作人員",
"7122","地面、牆面鋪設及磁磚鋪貼人員",
"7123","泥作工作人員",
"7124","絕緣材料安裝人員",
"7125","玻璃安裝人員",
"7126","管道裝設人員",
"7127","空調及冷凍機械裝修人員",
"713","油漆、建築物清潔及有關工作人員",
"7131","油漆、噴漆及有關工作人員",
"7132","建築物清潔人員",
"72","金屬、機具製造及有關工作人員",
"721","金屬鑄模、焊接、板金及有關工作人員",
"7211","金屬砂模及砂心製造人員",
"7212","焊接及切割人員",
"7213","板金人員",
"7214","金屬結構預備及組合人員",
"7215","索具裝置及鋼纜絞結人員",
"722","鍛造、工具製造及有關工作人員",
"7221","鍛造、錘造及鍛壓工作人員",
"7222","工具製造及有關工作人員",
"7223","金屬工具機設定及操作人員",
"7224","金屬打磨及工具磨削人員",
"723","機械維修人員",
"7231","機動車輛維修人員",
"7232","航空器維修人員",
"7233","產業用機器維修人員",
"7234","自行車及有關維修人員",
"73","手工藝及印刷工作人員",
"731","手工藝工作人員",
"7311","精密儀器製造及修理人員",
"7312","樂器製造及調音人員",
"7313","珠寶及貴金屬製作人員",
"7314","陶瓷製品有關工作人員",
"7315","玻璃製造、切割、研磨及修整人員",
"7316","招牌書寫、裝飾繪畫、雕刻及蝕刻人員",
"7317","木、竹、藤及有關材質手工藝工作人員",
"7318","紡織品及皮革手工藝工作人員",
"7319","其他手工藝工作人員",
"732","印刷及有關工作人員",
"7321","印刷前置工作人員",
"7322","印刷人員",
"7323","裝訂及有關工作人員",
"74","電力及電子設備裝修人員",
"741","電力設備裝修人員",
"7411","建築物電力系統裝修人員",
"7412","電力機械裝修人員",
"7413","電線裝修人員",
"742","電子設備裝修人員",
"7421","資訊及通訊設備裝修人員",
"7429","其他電子設備裝修人員",
"79","其他技藝有關工作人員",
"791","食品製造及有關工作人員",
"7911","肉類、魚類屠宰及有關食品處理人員",
"7912","麵包、點心及糖果製造人員",
"7913","乳製品製造人員",
"7914","蔬果及有關保藏人員",
"7915","食品、飲料試味及分級人員",
"7919","其他食品製造及有關工作人員",
"792","木材處理、家具木工及有關工作人員",
"7921","木材乾燥及保存處理人員",
"7922","家具木工及有關工作人員",
"7923","木工機器設定及操作人員",
"793","成衣及有關工作人員",
"7931","裁縫、毛皮加工及製帽人員",
"7932","服飾打樣及剪裁人員",
"7933","縫紉、刺繡及有關工作人員",
"7934","鞣革、製革及有關工作人員",
"7935","製鞋及有關工作人員",
"799","未分類其他技藝有關工作人員",
"7991","潛水人員",
"7992","引爆及爆破人員",
"7993","非食品飲料產品分級及檢查人員",
"7994","消毒及除蟲有關工作人員",
"7999","其他未分類技藝有關工作人員",
"8","機械設備操作及組裝人員",
"81","生產機械設備操作人員",
"811","採礦及礦物處理設備操作人員",
"8111","採礦及採石工作人員",
"8112","礦石及石材處理設備操作人員",
"8113","鑽井及有關工作人員",
"8114","水泥、石材及其他礦產品機械操作人員",
"812","金屬製造及表面處理設備操作人員",
"8121","金屬製造設備操作人員",
"8122","金屬表面處理機械操作人員",
"813","化學及照相產品機械操作人員",
"8131","藥品及化粧品機械操作人員",
"8132","照相產品機械操作人員",
"8139","其他化學產品機械操作人員",
"814","橡膠、塑膠及紙製品機械操作人員",
"8141","橡膠製品機械操作人員",
"8142","塑膠製品機械操作人員",
"8143","紙製品機械操作人員",
"815","紡織品、毛皮及皮革製品機械操作人員",
"8151","纖維準備、紡紗、併紗及撚線機械操作人員",
"8152","紡織及針織機械操作人員",
"8153","縫製機械操作人員",
"8154","漂染及整理機械操作人員",
"8155","毛皮及皮革準備機械操作人員",
"8156","製鞋及有關機械操作人員",
"8157","洗衣店機械操作人員",
"8159","其他紡織品、毛皮及皮革製品機械操作人員",
"816","食品及有關產品機械操作人員",
"8160","食品及有關產品機械操作人員",
"817","木材加工及造紙設備操作人員",
"8171","木材加工設備操作人員",
"8172","紙漿及造紙設備操作人員",
"819","其他生產機械設備操作人員",
"8191","玻璃及陶瓷生產設備操作人員",
"8192","蒸汽引擎及鍋爐操作人員",
"8193","包裝及有關機械操作人員",
"8199","未分類其他生產機械設備操作人員",
"82","組裝人員",
"820","組裝人員",
"8201","機械組裝人員",
"8202","電力及電子設備組裝人員",
"8209","其他組裝人員",
"83","駕駛及移運設備操作人員",
"831","軌道車輛駕駛及有關工作人員",
"8311","軌道車輛駕駛人員",
"8312","軌道制動器、號誌及轉轍器操作人員",
"832","機車、小客車及小貨車駕駛人員",
"8321","機車駕駛人員",
"8322","小客車及小貨車駕駛人員",
"833","大客車及大貨車駕駛人員",
"8331","大客車駕駛人員",
"8332","大貨車駕駛人員",
"834","移運設備操作人員",
"8341","農業及林業移運設備操作人員",
"8342","推土機及有關設備操作人員",
"8343","吊車、起重機及有關設備操作人員",
"8349","其他移運設備操作人員",
"835","船舶艙面水手及有關工作人員",
"8350","船舶艙面水手及有關工作人員",
"9","基層技術工及勞力工",
"91","清潔工及幫工",
"911","家庭及類似場所清潔工及幫工 ",
"9111","家庭清潔工及幫工",
"9112","辦公室、旅館及類似場所清潔工及幫工",
"919","其他清潔工",
"9191","車輛清潔工",
"9192","玻璃帷幕清潔工",
"9199","未分類其他清潔工",
"92","農、林、漁、牧業勞力工",
"920","農、林、漁、牧業勞力工",
"9201","農牧業勞力工",
"9202","林業勞力工",
"9203","漁業勞力工",
"93","採礦、營建、製造及運輸勞力工",
"931","採礦及營建勞力工",
"9311","採礦及採石勞力工",
"9312","營建勞力工",
"932","製造勞力工",
"9320","製造勞力工",
"933","運輸及倉儲勞力工",
"9330","運輸及倉儲勞力工",
"94","街頭服務工及非餐飲小販",
"940","街頭服務工及非餐飲小販",
"9401","街頭服務工",
"9402","街頭非餐飲小販",
"95","廢棄物服務工及環境清掃工",
"950","廢棄物服務工及環境清掃工",
"9501","廢棄物收集工及回收資源分類工",
"9502","環境清掃工",
"99","其他基層技術工及勞力工",
"990","其他基層技術工及勞力工",
"9901","食品烹調助手",
"9902","抄表員及自動販賣機收款員",
"9909","未分類其他基層技術工及勞力工",
"0","軍人",
"1","軍人",
"10","軍人",
"100","軍人",
